pubchem_cid,gene_id,label
5312804,51,1
46937108,4321,1
17756743,3932,1
6176,7371,1
5282379,81285,1
5281071,11255,1
1053,883,1
3720,8843,1
49866945,683,1
82313,27036,1
44473151,241,1
123619,5732,1
123938,2937,1
134780,51185,1
237,8398,1
60490,241,1
448317,3683,1
33255,3600,1
5419,134864,1
5360696,1535,1
5687,84630,1
8757,476,1
71544786,6869,1
449157,231,1
2244,1909,1
5288147,1512,1
10109823,5601,1
9999276,5144,1
15433,6010,1
146089,8398,1
644076,554,1
32778,3764,1
448294,28,1
135564996,1241,1
6140,6898,1
79084,4151,1
11281011,9568,1
97032,6783,1
16040268,3683,1
10013505,1128,1
3671,5144,1
104850,1268,1
2216,151,1
4748,1565,1
7405,7032,1
2754,5141,1
6030,11157,1
2244,5564,1
130804,10975,1
6106,51451,1
10772467,1136,1
27661,2974,1
3108,5147,1
2969,5045,1
5742673,55867,1
449164,279,1
11973736,2324,1
1103,766,1
24360,6755,1
16684434,486,1
2993,1259,1
23653502,1360,1
71602803,3039,1
440141,6036,1
11556711,5699,1
25229546,5150,1
5566,84650,1
46937113,1610,1
135398510,8491,1
23725625,143,1
445713,5876,1
135564980,6790,1
4474,5153,1
3117,79792,1
5502,5141,1
736407,8850,1
26133,3291,1
10361208,5292,1
26987,10280,1
107971,217,1
10267580,7046,1
5289339,5646,1
44093,4048,1
33741,2902,1
10345214,266977,1
2351,10369,1
5918,3736,1
23656870,1457,1
24822371,351,1
5288538,1491,1
3534,200895,1
29327,10724,1
20353,1609,1
253602,4809,1
52946593,2516,1
12597,4170,1
444552,2247,1
9875401,2159,1
135406506,124583,1
222865,81285,1
62819,2492,1
6106,23395,1
5284616,2247,1
3696,3751,1
6540277,27306,1
9918381,7941,1
11579,210,1
128564,4312,1
122623,5550,1
2730282,7298,1
5287850,1359,1
5330812,814,1
3108,5149,1
135522417,10039,1
11626560,238,1
8617,28755,1
449346,55,1
56649450,5294,1
189150,226,1
445580,6256,1
445650,3500,1
3025803,5144,1
2351,1557,1
5280493,10800,1
5280360,5731,1
61635,632,1
15606,3934,1
5289162,6256,1
5287525,7046,1
145994621,6751,1
446202,7453,1
46937062,1508,1
5288600,1453,1
3672,7056,1
11433918,3688,1
444718,6122,1
3973,5591,1
6914613,208,1
447962,6790,1
72258,4124,1
445639,6256,1
24759,1463,1
15602982,208,1
3779,5296,1
25210531,7374,1
9963148,9429,1
10458325,2041,1
5288147,1508,1
9841834,488,1
5284549,761,1
5289474,498,1
124604,6010,1
5289501,5916,1
2605,5916,1
456201,1585,1
1548942,7442,1
529,5313,1
6323481,949,1
5143,766,1
11304743,2982,1
11661758,2324,1
444732,10014,1
5287739,51426,1
408285,1509,1
3108,5141,1
6918509,10203,1
91532,547,1
312145,5295,1
6058,4887,1
3463,28234,1
16043304,10000,1
155448,1208,1
529,2027,1
441298,9536,1
10062713,1512,1
11505008,823,1
3034010,26090,1
2179,213,1
10220503,4544,1
15906,2938,1
6466,344752,1
1103,4953,1
5742673,9356,1
6473,2898,1
5287736,156,1
6450551,2261,1
135444742,10797,1
6288,80222,1
